[2026-06-28T18:30:57.072Z] cYitZRiAYpohYQO3AAAB Aventureiro-h4dl -> loginAccount {"login":"GM","password":"***"}
[2026-06-28T18:30:59.724Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> acceptEquipSuggestion {"itemId":"mago_arma_4_1782671458631_cea3a4dc1c96b8"}
[2026-06-28T18:31:01.474Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> acceptEquipSuggestion {"itemId":"mago_arma_4_1782671460644_3002f2e6556d9"}
[2026-06-28T18:31:02.379Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> acceptEquipSuggestion {"itemId":"mago_anel_3_1782671461656_0e80128c0dc33"}
[2026-06-28T18:31:07.653Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> saveNow <unserializable>
[2026-06-28T18:31:11.149Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> acceptEquipSuggestion {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:21.639Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> acceptEquipSuggestion {"itemId":"mago_colar_2_1782671480806_13ca60fce60758"}
[2026-06-28T18:31:27.060Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> useSkill {"skillId":"lanca_serafica"}
[2026-06-28T18:31:27.650Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> saveNow <unserializable>
[2026-06-28T18:31:33.254Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> acceptEquipSuggestion {"itemId":"boss_mago_ornamento_1782671490863_8351dbeaa6477"}
[2026-06-28T18:31:37.430Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> v92UnlockFashion {"id":"cabelo_prata"}
[2026-06-28T18:31:44.494Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> v92UnlockFashion {"id":"cabelo_sombra"}
[2026-06-28T18:31:45.545Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> v92UnlockFashion {"id":"cabelo_sombra"}
[2026-06-28T18:31:47.650Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> saveNow <unserializable>
[2026-06-28T18:31:47.899Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:48.225Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:48.384Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:48.528Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:48.709Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:48.861Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:49.187Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:49.343Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:49.511Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:49.675Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:49.814Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:49.979Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:50.144Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:50.295Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:50.461Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:50.627Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
[2026-06-28T18:31:50.771Z] cYitZRiAYpohYQO3AAAB GM-Eduardo -> upgradeItem {"itemId":"boss_mago_arma_1782671469716_0fc126e5e7867"}
